sample_order,sector,sector_rank,ticker,historical_sec_cik,company,randomization_seed,selection_status
37,consumer_staples,2,SJM,0000091419,J.M. Smucker Company (The),H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
38,consumer_staples,3,K,0000055067,Kellanova,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
39,consumer_staples,4,MNST,0000865752,Monster Beverage,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
40,consumer_staples,5,PM,0001413329,Philip Morris International,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
41,consumer_staples,6,EL,0001001250,Estée Lauder Companies (The),H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
42,consumer_staples,7,STZ,0000016918,Constellation Brands,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
43,consumer_staples,8,LW,0001679273,Lamb Weston,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
44,consumer_staples,9,TSN,0000100493,Tyson Foods,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
45,consumer_staples,10,CLX,0000021076,Clorox,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
46,consumer_staples,11,PEP,0000077476,PepsiCo,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
47,consumer_staples,12,ADM,0000007084,Archer Daniels Midland,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
48,consumer_staples,13,KO,0000021344,Coca-Cola Company (The),H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
49,consumer_staples,14,TAP,0000024545,Molson Coors Beverage Company,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
50,consumer_staples,15,PG,0000080424,Procter & Gamble,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
51,consumer_staples,16,TGT,0000027419,Target Corporation,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
52,energy,1,FANG,0001539838,Diamondback Energy,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
53,energy,2,NOV,0001021860,Nov,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
54,energy,3,FTI,0001681459,TechnipFMC,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
55,energy,4,APA,0000006769,APA Corporation,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
56,energy,5,COP,0001163165,ConocoPhillips,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
57,energy,6,OXY,0000797468,Occidental Petroleum,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
58,energy,7,KMI,0001506307,Kinder Morgan,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
59,energy,8,HES,0000004447,Hess Corporation,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
60,energy,9,DVN,0001090012,Devon Energy,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
61,energy,10,BKR,0001701605,Baker Hughes,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
62,energy,11,PXD,0001038357,Pioneer Natural Resources,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
63,financials,1,USB,0000036104,U.S. Bancorp,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
64,financials,2,GS,0000886982,Goldman Sachs,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
65,financials,3,UNM,0000005513,Unum Group,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
66,financials,4,FITB,0000035527,Fifth Third Bancorp,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
67,financials,5,MS,0000895421,Morgan Stanley,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
68,financials,6,AJG,0000354190,Arthur J. Gallagher & Co.,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
69,financials,7,AMP,0000820027,Ameriprise Financial,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
70,financials,8,SCHW,0000316709,Charles Schwab Corporation,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
71,financials,9,CBOE,0001374310,Cboe Global Markets,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
72,financials,10,L,0000060086,Loews Corporation,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
73,financials,11,FLT,0001175454,Fleetcor,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
74,financials,12,RF,0001281761,Regions Financial Corporation,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
75,financials,13,HBAN,0000049196,Huntington Bancshares,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
76,financials,14,TRV,0000086312,Travelers Companies (The),H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
77,financials,15,PYPL,0001633917,PayPal,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
78,financials,16,BAC,0000070858,Bank of America,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
79,financials,17,MA,0001141391,Mastercard,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
80,financials,18,MET,0001099219,MetLife,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
81,financials,19,PRU,0001137774,Prudential Financial,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
82,financials,20,SIVB,0000719739,SVB Financial Group,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
83,financials,21,FIS,0001136893,Fidelity National Information Services,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
84,financials,22,PFG,0001126328,Principal Financial Group,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
85,financials,23,AIZ,0001267238,Assurant,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
86,financials,24,MKTX,0001278021,MarketAxess,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
87,financials,25,AFL,0000004977,Aflac,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
88,financials,26,RE,0001095073,Everest Re,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
89,financials,27,C,0000831001,Citigroup,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
90,financials,28,DFS,0001393612,Discover Financial,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
91,financials,29,STT,0000093751,State Street Corporation,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
92,financials,30,AON,0000315293,Aon plc,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
93,financials,31,GL,0000320335,Globe Life,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
94,financials,32,CFG,0000759944,Citizens Financial Group,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
95,financials,33,PBCT,0001378946,People's United Financial,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
96,financials,34,RJF,0000720005,Raymond James Financial,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
97,financials,35,TROW,0001113169,T. Rowe Price,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
98,financials,36,NDAQ,0001120193,"Nasdaq, Inc.",H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
99,health_care,1,DHR,0000313616,Danaher Corporation,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
100,health_care,2,IQV,0001478242,IQVIA,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
101,health_care,3,ABMD,0000815094,Abiomed,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
102,health_care,4,MDT,0001613103,Medtronic,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
103,health_care,5,MCK,0000927653,McKesson Corporation,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
104,health_care,6,REGN,0000872589,Regeneron Pharmaceuticals,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
105,health_care,7,ALGN,0001097149,Align Technology,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
106,health_care,8,ABBV,0001551152,AbbVie,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
107,health_care,9,BIO,0000012208,Bio-Rad Laboratories,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
108,health_care,10,CI,0001739940,Cigna,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
109,health_care,11,VAR,0000203527,Varian Medical Systems,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
110,health_care,12,RMD,0000943819,ResMed|,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
111,health_care,13,PKI,0000031791,PerkinElmer,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
112,health_care,14,PFE,0000078003,Pfizer,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
113,health_care,15,BDX,0000010795,Becton Dickinson,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
114,health_care,16,ZTS,0001555280,Zoetis,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
115,health_care,17,CVS,0000064803,CVS Health,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
116,health_care,18,LH,0000920148,Labcorp,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
117,health_care,19,HUM,0000049071,Humana,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
118,health_care,20,ALXN,0000899866,Alexion Pharmaceuticals,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
119,health_care,21,UNH,0000731766,UnitedHealth Group,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
120,health_care,22,COO,0000711404,Cooper Companies (The),H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
121,health_care,23,EW,0001099800,Edwards Lifesciences,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
122,health_care,24,ABC,0001140859,AmerisourceBergen,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
123,health_care,25,HOLX,0000859737,Hologic,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
124,health_care,26,ANTM,0001156039,Anthem,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
125,health_care,27,TFX,0000096943,Teleflex,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
126,health_care,28,ABT,0000001800,Abbott Laboratories,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
127,industrials,1,IR,0001699150,Ingersoll Rand,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
128,industrials,2,PNR,0000077360,Pentair,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
129,industrials,3,XYL,0001524472,Xylem Inc.,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
130,industrials,4,CPRT,0000900075,Copart,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
131,industrials,5,IEX,0000832101,IDEX Corporation,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
132,industrials,6,UNP,0000100885,Union Pacific Corporation,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
133,industrials,7,LMT,0000936468,Lockheed Martin,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
134,industrials,8,URI,0001067701,United Rentals,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
135,industrials,9,INFO,0001598014,IHS Markit,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
136,industrials,10,FBHS,0001519751,Fortune Brands Home & Security,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
137,industrials,11,NLSN,0001492633,Nielsen Holdings,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
138,industrials,12,EMR,0000032604,Emerson Electric,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
139,industrials,13,FLS,0000030625,Flowserve Corporation,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
140,industrials,14,ALK,0000766421,Alaska Air Group,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
141,industrials,15,ODFL,0000878927,Old Dominion,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
142,industrials,16,GWW,0000277135,W. W. Grainger,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
143,industrials,17,DD,0001666700,DuPont,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
144,industrials,18,CMI,0000026172,Cummins,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
145,industrials,19,TDG,0001260221,TransDigm Group,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
146,industrials,20,MAS,0000062996,Masco,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
147,industrials,21,WAB,0000943452,Wabtec,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
148,industrials,22,J,0000052988,Jacobs Solutions,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
149,industrials,23,DOV,0000029905,Dover Corporation,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
150,industrials,24,LHX,0000202058,L3Harris,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
151,industrials,25,PH,0000076334,Parker Hannifin,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
152,industrials,26,TXT,0000217346,Textron,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
153,industrials,27,NSC,0000702165,Norfolk Southern,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
154,industrials,28,LDOS,0001336920,Leidos,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
155,industrials,29,RSG,0001060391,Republic Services,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
156,industrials,30,DAL,0000027904,Delta Air Lines,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
157,information_technology,1,KEYS,0001601046,Keysight Technologies,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
158,information_technology,2,IT,0000749251,Gartner,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
159,information_technology,3,KLAC,0000319201,KLA Corporation,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
160,information_technology,4,NLOK,0000849399,NortonLifeLock,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
161,information_technology,5,NVDA,0001045810,Nvidia,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
162,information_technology,6,XLNX,0000743988,Xilinx,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
163,information_technology,7,SWKS,0000004127,Skyworks Solutions,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
164,information_technology,8,CTXS,0000877890,Citrix,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
165,information_technology,9,TDY,0001094285,Teledyne Technologies,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
166,information_technology,10,AKAM,0001086222,Akamai Technologies,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
167,information_technology,11,INTU,0000896878,Intuit,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
168,information_technology,12,CDNS,0000813672,Cadence Design Systems,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
169,information_technology,13,CRM,0001108524,Salesforce,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
170,information_technology,14,INTC,0000050863,Intel,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
171,information_technology,15,JNPR,0001043604,Juniper Networks,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
172,information_technology,16,ROP,0000882835,Roper Technologies,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
173,information_technology,17,VRSN,0001014473,Verisign,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
174,information_technology,18,AVGO,0001730168,Broadcom,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
175,information_technology,19,ACN,0001467373,Accenture,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
176,information_technology,20,LRCX,0000707549,Lam Research,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
177,information_technology,21,SNPS,0000883241,Synopsys,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
178,information_technology,22,WDC,0000106040,Western Digital,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
179,information_technology,23,HPQ,0000047217,HP Inc.,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
180,information_technology,24,MSFT,0000789019,Microsoft,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
181,information_technology,25,QRVO,0001604778,Qorvo,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
182,information_technology,26,ZBRA,0000877212,Zebra Technologies,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
183,information_technology,27,CTSH,0001058290,Cognizant,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
184,information_technology,28,WU,0001365135,Western Union,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
185,materials,1,NUE,0000073309,Nucor,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
186,materials,2,PKG,0000075677,Packaging Corporation of America,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
187,materials,3,ALB,0000915913,Albemarle Corporation,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
188,materials,4,CF,0001324404,CF Industries,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
189,materials,5,MLM,0000916076,Martin Marietta Materials,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
190,materials,6,BLL,0000009389,Ball,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
191,materials,7,MOS,0001285785,Mosaic Company (The),H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
192,materials,8,SEE,0001012100,Sealed Air,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
193,materials,9,SHW,0000089800,Sherwin-Williams,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
194,materials,10,CE,0001306830,Celanese,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
195,materials,11,IFF,0000051253,International Flavors & Fragrances,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
196,materials,12,IP,0000051434,International Paper,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
197,materials,13,WRK,0001732845,WestRock,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
198,real_estate,1,EQIX,0001101239,Equinix,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
199,real_estate,2,SBAC,0001034054,SBA Communications,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
200,real_estate,3,AMT,0001053507,American Tower,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
201,real_estate,4,PEAK,0000765880,Healthpeak,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
202,real_estate,5,CBRE,0001138118,CBRE Group,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
203,real_estate,6,PSA,0001393311,Public Storage,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
204,real_estate,7,ESS,0000920522,Essex Property Trust,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
205,real_estate,8,HST,0001070750,Host Hotels & Resorts,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
206,real_estate,9,VNO,0000899689,Vornado Realty Trust,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
207,real_estate,10,VTR,0000740260,Ventas,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
208,real_estate,11,AIV,0000922864,Apartment Investment & Management,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
209,real_estate,12,DRE,0000783280,Duke Realty,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
210,real_estate,13,WELL,0000766704,Welltower,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
211,real_estate,14,AVB,0000915912,AvalonBay Communities,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
212,real_estate,15,DLR,0001297996,Digital Realty,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
213,real_estate,16,REG,0000910606,Regency Centers,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
214,utilities,1,LNT,0000352541,Alliant Energy,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
215,utilities,2,ED,0001047862,Consolidated Edison,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
216,utilities,3,CNP,0001130310,CenterPoint Energy,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
217,utilities,4,D,0000715957,Dominion Energy,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
218,utilities,5,CMS,0000811156,CMS Energy,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
219,utilities,6,DTE,0000936340,DTE Energy,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
220,utilities,7,PNW,0000764622,Pinnacle West Capital,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
221,utilities,8,FE,0001031296,FirstEnergy,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
222,utilities,9,DUK,0001326160,Duke Energy,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
223,utilities,10,EVRG,0001711269,Evergy,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
224,utilities,11,EIX,0000827052,Edison International,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
225,utilities,12,AES,0000874761,AES Corporation,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
