sample_order,sector,sector_rank,ticker,company_name,CIK,filing_position,form,filing_date,accession_number,sec_locator,verification_status,verification_note
7,communication_services,7,ATVI,Activision Blizzard,0000718877,F4,10-Q,2020-08-04,0001628280-20-011664,https://www.sec.gov/Archives/edgar/data/718877/0001628280-20-011664.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
7,communication_services,7,ATVI,Activision Blizzard,0000718877,F5,10-Q,2020-10-29,0001628280-20-015105,https://www.sec.gov/Archives/edgar/data/718877/0001628280-20-015105.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
8,communication_services,8,TWTR,Twitter Inc.,0001418091,F1,10-Q,2019-10-30,0001418091-19-000008,https://www.sec.gov/Archives/edgar/data/1418091/0001418091-19-000008.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
8,communication_services,8,TWTR,Twitter Inc.,0001418091,F2,10-K,2020-02-19,0001418091-20-000037,https://www.sec.gov/Archives/edgar/data/1418091/0001418091-20-000037.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
8,communication_services,8,TWTR,Twitter Inc.,0001418091,F3,10-Q,2020-05-05,0001418091-20-000089,https://www.sec.gov/Archives/edgar/data/1418091/0001418091-20-000089.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
8,communication_services,8,TWTR,Twitter Inc.,0001418091,F4,10-Q,2020-08-03,0001418091-20-000158,https://www.sec.gov/Archives/edgar/data/1418091/0001418091-20-000158.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
8,communication_services,8,TWTR,Twitter Inc.,0001418091,F5,10-Q,2020-10-30,0001418091-20-000202,https://www.sec.gov/Archives/edgar/data/1418091/0001418091-20-000202.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
9,communication_services,9,LYV,Live Nation Entertainment,0001335258,F1,10-Q,2019-10-31,0001335258-19-000141,https://www.sec.gov/Archives/edgar/data/1335258/0001335258-19-000141.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
9,communication_services,9,LYV,Live Nation Entertainment,0001335258,F2,10-K,2020-02-27,0001335258-20-000028,https://www.sec.gov/Archives/edgar/data/1335258/0001335258-20-000028.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
9,communication_services,9,LYV,Live Nation Entertainment,0001335258,F3,10-Q,2020-05-07,0001335258-20-000081,https://www.sec.gov/Archives/edgar/data/1335258/0001335258-20-000081.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
9,communication_services,9,LYV,Live Nation Entertainment,0001335258,F4,10-Q,2020-08-05,0001335258-20-000150,https://www.sec.gov/Archives/edgar/data/1335258/0001335258-20-000150.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
9,communication_services,9,LYV,Live Nation Entertainment,0001335258,F5,10-Q,2020-11-05,0001335258-20-000163,https://www.sec.gov/Archives/edgar/data/1335258/0001335258-20-000163.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
10,consumer_discretionary,1,MGM,MGM Resorts,0000789570,F1,10-Q,2019-11-05,0001564590-19-039971,https://www.sec.gov/Archives/edgar/data/789570/0001564590-19-039971.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
10,consumer_discretionary,1,MGM,MGM Resorts,0000789570,F2,10-K,2020-02-27,0001564590-20-007393,https://www.sec.gov/Archives/edgar/data/789570/0001564590-20-007393.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
10,consumer_discretionary,1,MGM,MGM Resorts,0000789570,F3,10-Q,2020-05-01,0001564590-20-020518,https://www.sec.gov/Archives/edgar/data/789570/0001564590-20-020518.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
10,consumer_discretionary,1,MGM,MGM Resorts,0000789570,F4,10-Q,2020-08-03,0001564590-20-035299,https://www.sec.gov/Archives/edgar/data/789570/0001564590-20-035299.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
10,consumer_discretionary,1,MGM,MGM Resorts,0000789570,F5,10-Q,2020-11-03,0001564590-20-049792,https://www.sec.gov/Archives/edgar/data/789570/0001564590-20-049792.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
11,consumer_discretionary,2,NKE,Nike Inc.,0000320187,F1,10-Q,2019-10-04,0000320187-19-000071,https://www.sec.gov/Archives/edgar/data/320187/0000320187-19-000071.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
11,consumer_discretionary,2,NKE,Nike Inc.,0000320187,F2,10-Q,2020-01-07,0000320187-20-000004,https://www.sec.gov/Archives/edgar/data/320187/0000320187-20-000004.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
11,consumer_discretionary,2,NKE,Nike Inc.,0000320187,F3,10-Q,2020-04-07,0000320187-20-000018,https://www.sec.gov/Archives/edgar/data/320187/0000320187-20-000018.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
11,consumer_discretionary,2,NKE,Nike Inc.,0000320187,F4,10-K,2020-07-24,0000320187-20-000047,https://www.sec.gov/Archives/edgar/data/320187/0000320187-20-000047.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
11,consumer_discretionary,2,NKE,Nike Inc.,0000320187,F5,10-Q,2020-10-08,0000320187-20-000061,https://www.sec.gov/Archives/edgar/data/320187/0000320187-20-000061.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
12,consumer_discretionary,3,ORLY,O'Reilly Automotive,0000898173,F1,10-Q,2019-11-06,0000898173-19-000166,https://www.sec.gov/Archives/edgar/data/898173/0000898173-19-000166.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
12,consumer_discretionary,3,ORLY,O'Reilly Automotive,0000898173,F2,10-K,2020-02-28,0000898173-20-000007,https://www.sec.gov/Archives/edgar/data/898173/0000898173-20-000007.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
12,consumer_discretionary,3,ORLY,O'Reilly Automotive,0000898173,F3,10-Q,2020-05-08,0000898173-20-000027,https://www.sec.gov/Archives/edgar/data/898173/0000898173-20-000027.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
12,consumer_discretionary,3,ORLY,O'Reilly Automotive,0000898173,F4,10-Q,2020-08-07,0001558370-20-009976,https://www.sec.gov/Archives/edgar/data/898173/0001558370-20-009976.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
12,consumer_discretionary,3,ORLY,O'Reilly Automotive,0000898173,F5,10-Q,2020-11-06,0000898173-20-000059,https://www.sec.gov/Archives/edgar/data/898173/0000898173-20-000059.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
13,consumer_discretionary,4,MAR,Marriott International,0001048286,F1,10-Q,2019-11-05,0001628280-19-013294,https://www.sec.gov/Archives/edgar/data/1048286/0001628280-19-013294.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
13,consumer_discretionary,4,MAR,Marriott International,0001048286,F2,10-K,2020-02-27,0001628280-20-002376,https://www.sec.gov/Archives/edgar/data/1048286/0001628280-20-002376.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
13,consumer_discretionary,4,MAR,Marriott International,0001048286,F3,10-Q,2020-05-11,0001628280-20-007376,https://www.sec.gov/Archives/edgar/data/1048286/0001628280-20-007376.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
13,consumer_discretionary,4,MAR,Marriott International,0001048286,F4,10-Q,2020-08-10,0001628280-20-012272,https://www.sec.gov/Archives/edgar/data/1048286/0001628280-20-012272.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
13,consumer_discretionary,4,MAR,Marriott International,0001048286,F5,10-Q,2020-11-06,0001628280-20-015909,https://www.sec.gov/Archives/edgar/data/1048286/0001628280-20-015909.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
14,consumer_discretionary,5,BWA,BorgWarner,0000908255,F1,10-Q,2019-10-31,0000908255-19-000062,https://www.sec.gov/Archives/edgar/data/908255/0000908255-19-000062.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
14,consumer_discretionary,5,BWA,BorgWarner,0000908255,F2,10-K,2020-02-13,0000908255-20-000014,https://www.sec.gov/Archives/edgar/data/908255/0000908255-20-000014.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
14,consumer_discretionary,5,BWA,BorgWarner,0000908255,F3,10-Q,2020-05-06,0000908255-20-000050,https://www.sec.gov/Archives/edgar/data/908255/0000908255-20-000050.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
14,consumer_discretionary,5,BWA,BorgWarner,0000908255,F4,10-Q,2020-08-05,0000908255-20-000073,https://www.sec.gov/Archives/edgar/data/908255/0000908255-20-000073.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
14,consumer_discretionary,5,BWA,BorgWarner,0000908255,F5,10-Q,2020-10-29,0000908255-20-000092,https://www.sec.gov/Archives/edgar/data/908255/0000908255-20-000092.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
15,consumer_discretionary,6,MCD,McDonald's,0000063908,F1,10-Q,2019-11-04,0000063908-19-000085,https://www.sec.gov/Archives/edgar/data/63908/0000063908-19-000085.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
15,consumer_discretionary,6,MCD,McDonald's,0000063908,F2,10-K,2020-02-26,0000063908-20-000022,https://www.sec.gov/Archives/edgar/data/63908/0000063908-20-000022.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
15,consumer_discretionary,6,MCD,McDonald's,0000063908,F3,10-Q,2020-05-07,0000063908-20-000042,https://www.sec.gov/Archives/edgar/data/63908/0000063908-20-000042.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
15,consumer_discretionary,6,MCD,McDonald's,0000063908,F4,10-Q,2020-08-10,0000063908-20-000063,https://www.sec.gov/Archives/edgar/data/63908/0000063908-20-000063.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
15,consumer_discretionary,6,MCD,McDonald's,0000063908,F5,10-Q,2020-11-09,0000063908-20-000076,https://www.sec.gov/Archives/edgar/data/63908/0000063908-20-000076.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
16,consumer_discretionary,7,APTV,Aptiv,0001521332,F1,10-Q,2019-10-30,0001521332-19-000045,https://www.sec.gov/Archives/edgar/data/1521332/0001521332-19-000045.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
16,consumer_discretionary,7,APTV,Aptiv,0001521332,F2,10-K,2020-02-03,0001521332-20-000012,https://www.sec.gov/Archives/edgar/data/1521332/0001521332-20-000012.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
16,consumer_discretionary,7,APTV,Aptiv,0001521332,F3,10-Q,2020-05-05,0001521332-20-000031,https://www.sec.gov/Archives/edgar/data/1521332/0001521332-20-000031.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
16,consumer_discretionary,7,APTV,Aptiv,0001521332,F4,10-Q,2020-07-30,0001521332-20-000050,https://www.sec.gov/Archives/edgar/data/1521332/0001521332-20-000050.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
16,consumer_discretionary,7,APTV,Aptiv,0001521332,F5,10-Q,2020-10-29,0001521332-20-000060,https://www.sec.gov/Archives/edgar/data/1521332/0001521332-20-000060.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
17,consumer_discretionary,8,CMG,Chipotle Mexican Grill,0001058090,F1,10-Q,2019-10-23,0001058090-19-000038,https://www.sec.gov/Archives/edgar/data/1058090/0001058090-19-000038.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
17,consumer_discretionary,8,CMG,Chipotle Mexican Grill,0001058090,F2,10-K,2020-02-05,0001058090-20-000010,https://www.sec.gov/Archives/edgar/data/1058090/0001058090-20-000010.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
17,consumer_discretionary,8,CMG,Chipotle Mexican Grill,0001058090,F3,10-Q,2020-04-29,0001058090-20-000020,https://www.sec.gov/Archives/edgar/data/1058090/0001058090-20-000020.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
17,consumer_discretionary,8,CMG,Chipotle Mexican Grill,0001058090,F4,10-Q,2020-07-29,0001058090-20-000031,https://www.sec.gov/Archives/edgar/data/1058090/0001058090-20-000031.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
17,consumer_discretionary,8,CMG,Chipotle Mexican Grill,0001058090,F5,10-Q,2020-10-28,0001058090-20-000041,https://www.sec.gov/Archives/edgar/data/1058090/0001058090-20-000041.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
18,consumer_discretionary,9,SBUX,Starbucks,0000829224,F1,10-K,2019-11-15,0000829224-19-000051,https://www.sec.gov/Archives/edgar/data/829224/0000829224-19-000051.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
18,consumer_discretionary,9,SBUX,Starbucks,0000829224,F2,10-Q,2020-01-28,0000829224-20-000012,https://www.sec.gov/Archives/edgar/data/829224/0000829224-20-000012.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
18,consumer_discretionary,9,SBUX,Starbucks,0000829224,F3,10-Q,2020-04-28,0000829224-20-000045,https://www.sec.gov/Archives/edgar/data/829224/0000829224-20-000045.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
18,consumer_discretionary,9,SBUX,Starbucks,0000829224,F4,10-Q,2020-07-28,0000829224-20-000066,https://www.sec.gov/Archives/edgar/data/829224/0000829224-20-000066.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
18,consumer_discretionary,9,SBUX,Starbucks,0000829224,F5,10-K,2020-11-12,0000829224-20-000078,https://www.sec.gov/Archives/edgar/data/829224/0000829224-20-000078.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
19,consumer_discretionary,10,WHR,Whirlpool Corporation,0000106640,F1,10-Q,2019-10-23,0000106640-19-000135,https://www.sec.gov/Archives/edgar/data/106640/0000106640-19-000135.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
19,consumer_discretionary,10,WHR,Whirlpool Corporation,0000106640,F2,10-K,2020-02-11,0000106640-20-000017,https://www.sec.gov/Archives/edgar/data/106640/0000106640-20-000017.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
19,consumer_discretionary,10,WHR,Whirlpool Corporation,0000106640,F3,10-Q,2020-05-01,0000106640-20-000132,https://www.sec.gov/Archives/edgar/data/106640/0000106640-20-000132.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
