sample_order,sector,sector_rank,ticker,company_name,CIK,filing_position,form,filing_date,accession_number,sec_locator,verification_status,verification_note,classification,signal_strength,temporal_state,affected_actor,origin_status,evidence_summary,specificity,novelty,persistence,commercial_explicitness,scorer_confidence
101,health_care,3,ABMD,Abiomed,0000815094,F1,10-Q,2019-10-31,0001564590-19-039144,https://www.sec.gov/Archives/edgar/data/815094/0001564590-19-039144.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,No Signal,N/A,N/A,N/A,N/A,"No qualifying customer pricing, entitlement, migration, or cost-transfer mechanism is established.",N/A,N/A,None,N/A,High
101,health_care,3,ABMD,Abiomed,0000815094,F2,10-Q,2020-02-06,0001564590-20-003682,https://www.sec.gov/Archives/edgar/data/815094/0001564590-20-003682.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,No Signal,N/A,N/A,N/A,N/A,"No qualifying customer pricing, entitlement, migration, or cost-transfer mechanism is established.",N/A,N/A,None,N/A,High
101,health_care,3,ABMD,Abiomed,0000815094,F3,10-K,2020-05-21,0001564590-20-026547,https://www.sec.gov/Archives/edgar/data/815094/0001564590-20-026547.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,No Signal,N/A,N/A,N/A,N/A,"No qualifying customer pricing, entitlement, migration, or cost-transfer mechanism is established.",N/A,N/A,None,N/A,High
101,health_care,3,ABMD,Abiomed,0000815094,F4,10-Q,2020-08-06,0001564590-20-037706,https://www.sec.gov/Archives/edgar/data/815094/0001564590-20-037706.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,No Signal,N/A,N/A,N/A,N/A,"No qualifying customer pricing, entitlement, migration, or cost-transfer mechanism is established.",N/A,N/A,None,N/A,High
101,health_care,3,ABMD,Abiomed,0000815094,F5,10-Q,2020-11-06,0001564590-20-051944,https://www.sec.gov/Archives/edgar/data/815094/0001564590-20-051944.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,No Signal,N/A,N/A,N/A,N/A,"No qualifying customer pricing, entitlement, migration, or cost-transfer mechanism is established.",N/A,N/A,None,N/A,High
102,health_care,4,MDT,Medtronic,0001613103,F1,10-Q,2019-08-30,0001613103-19-000038,https://www.sec.gov/Archives/edgar/data/1613103/0001613103-19-000038.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,No Signal,N/A,N/A,N/A,N/A,Derivative/reference-rate discontinuation language is accounting/financing rather than customer-product withdrawal.,N/A,N/A,None,N/A,High
102,health_care,4,MDT,Medtronic,0001613103,F2,10-Q,2019-12-03,0001613103-19-000056,https://www.sec.gov/Archives/edgar/data/1613103/0001613103-19-000056.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,No Signal,N/A,N/A,N/A,N/A,Derivative/reference-rate discontinuation language is accounting/financing rather than customer-product withdrawal.,N/A,N/A,None,N/A,High
102,health_care,4,MDT,Medtronic,0001613103,F3,10-Q,2020-02-28,0001613103-20-000007,https://www.sec.gov/Archives/edgar/data/1613103/0001613103-20-000007.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,No Signal,N/A,N/A,N/A,N/A,Derivative/reference-rate discontinuation language is accounting/financing rather than customer-product withdrawal.,N/A,N/A,None,N/A,High
102,health_care,4,MDT,Medtronic,0001613103,F4,10-K,2020-06-19,0001613103-20-000021,https://www.sec.gov/Archives/edgar/data/1613103/0001613103-20-000021.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,No Signal,N/A,N/A,N/A,N/A,Derivative/reference-rate discontinuation language is accounting/financing rather than customer-product withdrawal.,N/A,N/A,None,N/A,High
102,health_care,4,MDT,Medtronic,0001613103,F5,10-Q,2020-09-03,0001613103-20-000033,https://www.sec.gov/Archives/edgar/data/1613103/0001613103-20-000033.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,No Signal,N/A,N/A,N/A,N/A,Derivative/reference-rate discontinuation language is accounting/financing rather than customer-product withdrawal.,N/A,N/A,None,N/A,High
103,health_care,5,MCK,McKesson Corporation,0000927653,F1,10-Q,2019-10-30,0000927653-19-000021,https://www.sec.gov/Archives/edgar/data/927653/0000927653-19-000021.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,No Signal,N/A,N/A,N/A,N/A,Drug price increases are described as market/industry growth rather than a company-originated customer action.,N/A,N/A,None,N/A,High
103,health_care,5,MCK,McKesson Corporation,0000927653,F2,10-Q,2020-02-04,0000927653-20-000016,https://www.sec.gov/Archives/edgar/data/927653/0000927653-20-000016.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,No Signal,N/A,N/A,N/A,N/A,Drug price increases are described as market/industry growth rather than a company-originated customer action.,N/A,N/A,None,N/A,High
103,health_care,5,MCK,McKesson Corporation,0000927653,F3,10-K,2020-05-22,0000927653-20-000033,https://www.sec.gov/Archives/edgar/data/927653/0000927653-20-000033.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,No Signal,N/A,N/A,N/A,N/A,Drug price increases are described as market/industry growth rather than a company-originated customer action.,N/A,N/A,None,N/A,High
103,health_care,5,MCK,McKesson Corporation,0000927653,F4,10-Q,2020-08-03,0000927653-20-000061,https://www.sec.gov/Archives/edgar/data/927653/0000927653-20-000061.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,No Signal,N/A,N/A,N/A,N/A,Drug price increases are described as market/industry growth rather than a company-originated customer action.,N/A,N/A,None,N/A,High
103,health_care,5,MCK,McKesson Corporation,0000927653,F5,10-Q,2020-11-03,0000927653-20-000093,https://www.sec.gov/Archives/edgar/data/927653/0000927653-20-000093.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,No Signal,N/A,N/A,N/A,N/A,Drug price increases are described as market/industry growth rather than a company-originated customer action.,N/A,N/A,None,N/A,High
104,health_care,6,REGN,Regeneron Pharmaceuticals,0000872589,F1,10-Q,2019-11-05,0001532176-19-000034,https://www.sec.gov/Archives/edgar/data/872589/0001532176-19-000034.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,No Signal,N/A,N/A,N/A,N/A,"Rebate and inflation language reflects statutory pricing rules and regulation, not a new company-originated customer action.",N/A,N/A,None,N/A,High
104,health_care,6,REGN,Regeneron Pharmaceuticals,0000872589,F2,10-K,2020-02-07,0001532176-20-000008,https://www.sec.gov/Archives/edgar/data/872589/0001532176-20-000008.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,No Signal,N/A,N/A,N/A,N/A,"Rebate and inflation language reflects statutory pricing rules and regulation, not a new company-originated customer action.",N/A,N/A,None,N/A,High
104,health_care,6,REGN,Regeneron Pharmaceuticals,0000872589,F3,10-Q,2020-05-05,0001804220-20-000011,https://www.sec.gov/Archives/edgar/data/872589/0001804220-20-000011.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,No Signal,N/A,N/A,N/A,N/A,"Rebate and inflation language reflects statutory pricing rules and regulation, not a new company-originated customer action.",N/A,N/A,None,N/A,High
104,health_care,6,REGN,Regeneron Pharmaceuticals,0000872589,F4,10-Q,2020-08-05,0001804220-20-000022,https://www.sec.gov/Archives/edgar/data/872589/0001804220-20-000022.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,No Signal,N/A,N/A,N/A,N/A,"Rebate and inflation language reflects statutory pricing rules and regulation, not a new company-originated customer action.",N/A,N/A,None,N/A,High
104,health_care,6,REGN,Regeneron Pharmaceuticals,0000872589,F5,10-Q,2020-11-05,0001804220-20-000030,https://www.sec.gov/Archives/edgar/data/872589/0001804220-20-000030.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,No Signal,N/A,N/A,N/A,N/A,"Rebate and inflation language reflects statutory pricing rules and regulation, not a new company-originated customer action.",N/A,N/A,None,N/A,High
105,health_care,7,ALGN,Align Technology,0001097149,F1,10-Q,2019-10-31,0001097149-19-000036,https://www.sec.gov/Archives/edgar/data/1097149/0001097149-19-000036.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,SP002,Strong,IMPLEMENTATION,Clear-aligner customers,Company-originated commercial model,Higher ASP from price increases and mix is already explicit at F1 and persists; strong but static existing-customer yield optimization.,High,Pre-existing,Persistent,High,High
105,health_care,7,ALGN,Align Technology,0001097149,F2,10-K,2020-02-28,0001097149-20-000008,https://www.sec.gov/Archives/edgar/data/1097149/0001097149-20-000008.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,SP002,Strong,IMPLEMENTATION,Clear-aligner customers,Company-originated commercial model,Higher ASP from price increases and mix is already explicit at F1 and persists; strong but static existing-customer yield optimization.,High,Pre-existing,Persistent,High,High
105,health_care,7,ALGN,Align Technology,0001097149,F3,10-Q,2020-05-05,0001097149-20-000025,https://www.sec.gov/Archives/edgar/data/1097149/0001097149-20-000025.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,SP002,Strong,IMPLEMENTATION,Clear-aligner customers,Company-originated commercial model,Higher ASP from price increases and mix is already explicit at F1 and persists; strong but static existing-customer yield optimization.,High,Pre-existing,Persistent,High,High
105,health_care,7,ALGN,Align Technology,0001097149,F4,10-Q,2020-07-31,0001097149-20-000049,https://www.sec.gov/Archives/edgar/data/1097149/0001097149-20-000049.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,SP002,Strong,IMPLEMENTATION,Clear-aligner customers,Company-originated commercial model,Higher ASP from price increases and mix is already explicit at F1 and persists; strong but static existing-customer yield optimization.,High,Pre-existing,Persistent,High,High
105,health_care,7,ALGN,Align Technology,0001097149,F5,10-Q,2020-10-30,0001097149-20-000052,https://www.sec.gov/Archives/edgar/data/1097149/0001097149-20-000052.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,SP002,Strong,IMPLEMENTATION,Clear-aligner customers,Company-originated commercial model,Higher ASP from price increases and mix is already explicit at F1 and persists; strong but static existing-customer yield optimization.,High,Pre-existing,Persistent,High,High
106,health_care,8,ABBV,AbbVie,0001551152,F1,10-Q,2019-11-06,0001551152-19-000030,https://www.sec.gov/Archives/edgar/data/1551152/0001551152-19-000030.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,No Signal,N/A,N/A,N/A,N/A,Pricing references are primarily regulatory-risk discussion rather than a concrete company action in the frozen trajectory.,N/A,N/A,None,N/A,High
106,health_care,8,ABBV,AbbVie,0001551152,F2,10-K,2020-02-21,0001551152-20-000007,https://www.sec.gov/Archives/edgar/data/1551152/0001551152-20-000007.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,No Signal,N/A,N/A,N/A,N/A,Pricing references are primarily regulatory-risk discussion rather than a concrete company action in the frozen trajectory.,N/A,N/A,None,N/A,High
106,health_care,8,ABBV,AbbVie,0001551152,F3,10-Q,2020-05-08,0001551152-20-000015,https://www.sec.gov/Archives/edgar/data/1551152/0001551152-20-000015.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,No Signal,N/A,N/A,N/A,N/A,Pricing references are primarily regulatory-risk discussion rather than a concrete company action in the frozen trajectory.,N/A,N/A,None,N/A,High
106,health_care,8,ABBV,AbbVie,0001551152,F4,10-Q,2020-08-04,0001551152-20-000023,https://www.sec.gov/Archives/edgar/data/1551152/0001551152-20-000023.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,No Signal,N/A,N/A,N/A,N/A,Pricing references are primarily regulatory-risk discussion rather than a concrete company action in the frozen trajectory.,N/A,N/A,None,N/A,High
106,health_care,8,ABBV,AbbVie,0001551152,F5,10-Q,2020-11-04,0001551152-20-000032,https://www.sec.gov/Archives/edgar/data/1551152/0001551152-20-000032.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,No Signal,N/A,N/A,N/A,N/A,Pricing references are primarily regulatory-risk discussion rather than a concrete company action in the frozen trajectory.,N/A,N/A,None,N/A,High
107,health_care,9,BIO,Bio-Rad Laboratories,0000012208,F1,10-Q,2019-11-01,0001628280-19-013083,https://www.sec.gov/Archives/edgar/data/12208/0001628280-19-013083.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,SP004,Moderate,IMPLEMENTATION,Laboratory/research customers,Company-originated commercial model,"F5 explicitly links inflationary acquired-goods costs to attempted price recovery, but the language stresses inability/restriction and does not establish a Strong implemented transfer.",Moderate,Pre-existing,Persistent,Moderate,High
107,health_care,9,BIO,Bio-Rad Laboratories,0000012208,F2,10-K,2020-03-02,0000012208-20-000012,https://www.sec.gov/Archives/edgar/data/12208/0000012208-20-000012.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,SP004,Moderate,IMPLEMENTATION,Laboratory/research customers,Company-originated commercial model,"F5 explicitly links inflationary acquired-goods costs to attempted price recovery, but the language stresses inability/restriction and does not establish a Strong implemented transfer.",Moderate,Pre-existing,Persistent,Moderate,High
107,health_care,9,BIO,Bio-Rad Laboratories,0000012208,F3,10-Q,2020-05-08,0000012208-20-000022,https://www.sec.gov/Archives/edgar/data/12208/0000012208-20-000022.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,SP004,Moderate,IMPLEMENTATION,Laboratory/research customers,Company-originated commercial model,"F5 explicitly links inflationary acquired-goods costs to attempted price recovery, but the language stresses inability/restriction and does not establish a Strong implemented transfer.",Moderate,Pre-existing,Persistent,Moderate,High
107,health_care,9,BIO,Bio-Rad Laboratories,0000012208,F4,10-Q,2020-07-31,0000012208-20-000039,https://www.sec.gov/Archives/edgar/data/12208/0000012208-20-000039.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,SP004,Moderate,IMPLEMENTATION,Laboratory/research customers,Company-originated commercial model,"F5 explicitly links inflationary acquired-goods costs to attempted price recovery, but the language stresses inability/restriction and does not establish a Strong implemented transfer.",Moderate,Pre-existing,Persistent,Moderate,High
107,health_care,9,BIO,Bio-Rad Laboratories,0000012208,F5,10-Q,2020-10-30,0000012208-20-000055,https://www.sec.gov/Archives/edgar/data/12208/0000012208-20-000055.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,SP004,Moderate,IMPLEMENTATION,Laboratory/research customers,Company-originated commercial model,"F5 explicitly links inflationary acquired-goods costs to attempted price recovery, but the language stresses inability/restriction and does not establish a Strong implemented transfer.",Moderate,Pre-existing,Persistent,Moderate,High
108,health_care,10,CI,Cigna,0001739940,F1,10-Q,2019-10-31,0001739940-19-000012,https://www.sec.gov/Archives/edgar/data/1739940/0001739940-19-000012.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,No Signal,N/A,N/A,N/A,N/A,Higher branded-drug prices primarily reflect upstream drug-price inflation and customer-transition mechanics rather than a qualifying Cigna-originated action.,N/A,N/A,None,N/A,High
108,health_care,10,CI,Cigna,0001739940,F2,10-K,2020-02-27,0001739940-20-000006,https://www.sec.gov/Archives/edgar/data/1739940/0001739940-20-000006.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,No Signal,N/A,N/A,N/A,N/A,Higher branded-drug prices primarily reflect upstream drug-price inflation and customer-transition mechanics rather than a qualifying Cigna-originated action.,N/A,N/A,None,N/A,High
108,health_care,10,CI,Cigna,0001739940,F3,10-Q,2020-05-07,0001739940-20-000012,https://www.sec.gov/Archives/edgar/data/1739940/0001739940-20-000012.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,No Signal,N/A,N/A,N/A,N/A,Higher branded-drug prices primarily reflect upstream drug-price inflation and customer-transition mechanics rather than a qualifying Cigna-originated action.,N/A,N/A,None,N/A,High
108,health_care,10,CI,Cigna,0001739940,F4,10-Q,2020-08-06,0001739940-20-000017,https://www.sec.gov/Archives/edgar/data/1739940/0001739940-20-000017.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,No Signal,N/A,N/A,N/A,N/A,Higher branded-drug prices primarily reflect upstream drug-price inflation and customer-transition mechanics rather than a qualifying Cigna-originated action.,N/A,N/A,None,N/A,High
108,health_care,10,CI,Cigna,0001739940,F5,10-Q,2020-11-05,0001739940-20-000021,https://www.sec.gov/Archives/edgar/data/1739940/0001739940-20-000021.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,No Signal,N/A,N/A,N/A,N/A,Higher branded-drug prices primarily reflect upstream drug-price inflation and customer-transition mechanics rather than a qualifying Cigna-originated action.,N/A,N/A,None,N/A,High
109,health_care,11,VAR,Varian Medical Systems,0000203527,F1,10-K,2019-11-25,0000203527-19-000025,https://www.sec.gov/Archives/edgar/data/203527/0000203527-19-000025.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,No Signal,N/A,N/A,N/A,N/A,Acquisition and LIBOR-migration language is non-qualifying.,N/A,N/A,None,N/A,High
109,health_care,11,VAR,Varian Medical Systems,0000203527,F2,10-Q,2020-02-11,0000203527-20-000008,https://www.sec.gov/Archives/edgar/data/203527/0000203527-20-000008.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,No Signal,N/A,N/A,N/A,N/A,Acquisition and LIBOR-migration language is non-qualifying.,N/A,N/A,None,N/A,High
109,health_care,11,VAR,Varian Medical Systems,0000203527,F3,10-Q,2020-05-12,0000203527-20-000015,https://www.sec.gov/Archives/edgar/data/203527/0000203527-20-000015.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,No Signal,N/A,N/A,N/A,N/A,Acquisition and LIBOR-migration language is non-qualifying.,N/A,N/A,None,N/A,High
109,health_care,11,VAR,Varian Medical Systems,0000203527,F4,10-Q,2020-08-11,0000203527-20-000016,https://www.sec.gov/Archives/edgar/data/203527/0000203527-20-000016.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,No Signal,N/A,N/A,N/A,N/A,Acquisition and LIBOR-migration language is non-qualifying.,N/A,N/A,None,N/A,High
109,health_care,11,VAR,Varian Medical Systems,0000203527,F5,10-K,2020-11-25,0000203527-20-000027,https://www.sec.gov/Archives/edgar/data/203527/0000203527-20-000027.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,No Signal,N/A,N/A,N/A,N/A,Acquisition and LIBOR-migration language is non-qualifying.,N/A,N/A,None,N/A,High
110,health_care,12,RMD,ResMed|,0000943819,F1,10-Q,2019-10-25,0000943819-19-000029,https://www.sec.gov/Archives/edgar/data/943819/0000943819-19-000029.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,No Signal,N/A,N/A,N/A,N/A,Share-repurchase and reference-rate discontinuation language does not affect customers.,N/A,N/A,None,N/A,High
110,health_care,12,RMD,ResMed|,0000943819,F2,10-Q,2020-01-31,0000943819-20-000003,https://www.sec.gov/Archives/edgar/data/943819/0000943819-20-000003.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,No Signal,N/A,N/A,N/A,N/A,Share-repurchase and reference-rate discontinuation language does not affect customers.,N/A,N/A,None,N/A,High
