sample_order,sector,ticker,company_name,filing_position,form,filing_date,accession_number,classification,signal_strength,temporal_state,affected_actor,origin_status,evidence_passage,specificity,novelty,persistence,commercial_explicitness,scorer_confidence
5,communication_services,OMC,Omnicom Group,F2,10-K,2020-02-11,0000029989-20-000005,No Signal,N/A,N/A,N/A,N/A,Client-centric marketing services and efficiency initiatives are described without a qualifying customer pricing entitlement migration or cost-transfer mechanism.,N/A,Pre-existing,None,N/A,High
5,communication_services,OMC,Omnicom Group,F3,10-Q,2020-04-28,0000029989-20-000007,No Signal,N/A,N/A,N/A,N/A,Client-centric marketing services and efficiency initiatives are described without a qualifying customer pricing entitlement migration or cost-transfer mechanism.,N/A,Pre-existing,None,N/A,High
5,communication_services,OMC,Omnicom Group,F4,10-Q,2020-07-28,0000029989-20-000010,No Signal,N/A,N/A,N/A,N/A,Client-centric marketing services and efficiency initiatives are described without a qualifying customer pricing entitlement migration or cost-transfer mechanism.,N/A,Pre-existing,None,N/A,High
5,communication_services,OMC,Omnicom Group,F5,10-Q,2020-10-27,0000029989-20-000016,No Signal,N/A,N/A,N/A,N/A,Client-centric marketing services and efficiency initiatives are described without a qualifying customer pricing entitlement migration or cost-transfer mechanism.,N/A,Pre-existing,None,N/A,High
6,communication_services,DISH,Dish Network,F1,10-Q,2019-11-07,0001558370-19-010263,SP002,Strong,IMPLEMENTATION,Pay-TV subscribers,Company-originated commercial model,Pay-TV ARPU rises through DISH TV and Sling package price increases; programming-cost pass-through to subscribers is explicit.,High,Pre-existing,Persistent,High,High
6,communication_services,DISH,Dish Network,F2,10-K,2020-02-19,0001558370-20-000945,SP002,Strong,IMPLEMENTATION,Pay-TV subscribers,Company-originated commercial model,Pay-TV ARPU rises through DISH TV and Sling package price increases; programming-cost pass-through to subscribers is explicit.,High,Pre-existing,Persistent,High,High
6,communication_services,DISH,Dish Network,F3,10-Q,2020-05-07,0001558370-20-005524,SP002,Strong,IMPLEMENTATION,Pay-TV subscribers,Company-originated commercial model,Pay-TV ARPU rises through DISH TV and Sling package price increases; programming-cost pass-through to subscribers is explicit.,High,Pre-existing,Persistent,High,High
6,communication_services,DISH,Dish Network,F4,10-Q,2020-08-07,0001558370-20-009801,SP002,Very Strong,IMPLEMENTATION,Pay-TV subscribers,Company-originated commercial model,Pay-TV ARPU rises through DISH TV and Sling package price increases; programming-cost pass-through to subscribers is explicit.,High,Pre-existing,Persistent,High,High
6,communication_services,DISH,Dish Network,F5,10-Q,2020-11-06,0001558370-20-013008,SP002,Very Strong,IMPLEMENTATION,Pay-TV subscribers,Company-originated commercial model,Pay-TV ARPU rises through DISH TV and Sling package price increases; programming-cost pass-through to subscribers is explicit.,High,Pre-existing,Persistent,High,High
7,communication_services,ATVI,Activision Blizzard,F1,10-Q,2019-11-07,0000718877-19-000021,SP002,Strong,IMPLEMENTATION,Existing players,Company-originated commercial model,Downloadable content and microtransactions create recurring high-margin revenue from players throughout the year.,High,Pre-existing,Persistent,High,High
7,communication_services,ATVI,Activision Blizzard,F2,10-K,2020-02-27,0000718877-20-000003,SP002,Strong,IMPLEMENTATION,Existing players,Company-originated commercial model,Downloadable content and microtransactions create recurring high-margin revenue from players throughout the year.,High,Pre-existing,Persistent,High,High
7,communication_services,ATVI,Activision Blizzard,F3,10-Q,2020-05-05,0001628280-20-006454,SP002,Strong,IMPLEMENTATION,Existing players,Company-originated commercial model,Downloadable content and microtransactions create recurring high-margin revenue from players throughout the year.,High,Pre-existing,Persistent,High,High
7,communication_services,ATVI,Activision Blizzard,F4,10-Q,2020-08-04,0001628280-20-011664,SP002,Strong,IMPLEMENTATION,Existing players,Company-originated commercial model,Downloadable content and microtransactions create recurring high-margin revenue from players throughout the year.,High,Pre-existing,Persistent,High,High
7,communication_services,ATVI,Activision Blizzard,F5,10-Q,2020-10-29,0001628280-20-015105,SP002,Strong,IMPLEMENTATION,Existing players,Company-originated commercial model,Downloadable content and microtransactions create recurring high-margin revenue from players throughout the year.,High,Pre-existing,Persistent,High,High
8,communication_services,TWTR,Twitter Inc.,F1,10-Q,2019-10-30,0001418091-19-000008,No Signal,N/A,N/A,N/A,N/A,Filings discuss advertiser monetization and future monetization initiatives but not a qualifying existing-customer economic mechanism.,N/A,Pre-existing,None,N/A,High
8,communication_services,TWTR,Twitter Inc.,F2,10-K,2020-02-19,0001418091-20-000037,No Signal,N/A,N/A,N/A,N/A,Filings discuss advertiser monetization and future monetization initiatives but not a qualifying existing-customer economic mechanism.,N/A,Pre-existing,None,N/A,High
8,communication_services,TWTR,Twitter Inc.,F3,10-Q,2020-05-05,0001418091-20-000089,No Signal,N/A,N/A,N/A,N/A,Filings discuss advertiser monetization and future monetization initiatives but not a qualifying existing-customer economic mechanism.,N/A,Pre-existing,None,N/A,High
8,communication_services,TWTR,Twitter Inc.,F4,10-Q,2020-08-03,0001418091-20-000158,No Signal,N/A,N/A,N/A,N/A,Filings discuss advertiser monetization and future monetization initiatives but not a qualifying existing-customer economic mechanism.,N/A,Pre-existing,None,N/A,High
8,communication_services,TWTR,Twitter Inc.,F5,10-Q,2020-10-30,0001418091-20-000202,No Signal,N/A,N/A,N/A,N/A,Filings discuss advertiser monetization and future monetization initiatives but not a qualifying existing-customer economic mechanism.,N/A,Pre-existing,None,N/A,High
9,communication_services,LYV,Live Nation Entertainment,F1,10-Q,2019-10-31,0001335258-19-000141,SP002,Strong,IMPLEMENTATION,Fans/ticket buyers,Company-originated commercial model,Premium tickets premium parking and other upsells are used to increase ancillary revenue and spend per fan.,High,Pre-existing,Persistent,High,High
9,communication_services,LYV,Live Nation Entertainment,F2,10-K,2020-02-27,0001335258-20-000028,SP002,Strong,IMPLEMENTATION,Fans/ticket buyers,Company-originated commercial model,Premium tickets premium parking and other upsells are used to increase ancillary revenue and spend per fan.,High,Pre-existing,Persistent,High,High
9,communication_services,LYV,Live Nation Entertainment,F3,10-Q,2020-05-07,0001335258-20-000081,SP002,Moderate,IMPLEMENTATION,Fans/ticket buyers,Company-originated commercial model,Premium tickets premium parking and other upsells are used to increase ancillary revenue and spend per fan.,Moderate,Pre-existing,Persistent,Moderate,High
9,communication_services,LYV,Live Nation Entertainment,F4,10-Q,2020-08-05,0001335258-20-000150,SP002,Moderate,IMPLEMENTATION,Fans/ticket buyers,Company-originated commercial model,Premium tickets premium parking and other upsells are used to increase ancillary revenue and spend per fan.,Moderate,Pre-existing,Persistent,Moderate,High
9,communication_services,LYV,Live Nation Entertainment,F5,10-Q,2020-11-05,0001335258-20-000163,SP002,Strong,IMPLEMENTATION,Fans/ticket buyers,Company-originated commercial model,Premium tickets premium parking and other upsells are used to increase ancillary revenue and spend per fan.,High,Pre-existing,Persistent,High,High
